date,open,high,low,close,volume
1968-09-04,4.8985,4.9276,4.8985,4.9276,296000
1968-09-05,4.9257,4.962,4.9111,4.9366,248000
1968-09-06,4.9346,4.96,4.9092,4.9455,340800
1968-09-09,4.9477,4.955,4.915,4.9186,217600
1968-09-10,4.9153,4.9153,4.8716,4.9007,291200
1968-09-12,4.9007,4.9153,4.868,4.9007,468800
1968-09-13,4.8971,4.9298,4.8971,4.9007,272000
1968-09-16,4.9046,4.9046,4.8719,4.8828,315200
1968-09-17,4.8809,4.8918,4.87,4.8918,353600
1968-09-19,4.8884,4.8992,4.8593,4.8738,356800
1968-09-20,4.8547,4.8547,4.8002,4.8111,500800
1968-09-23,4.8135,4.9007,4.7989,4.9007,612800
1968-09-24,4.9007,4.9007,4.8607,4.9007,499200
1968-09-26,4.892,4.892,4.8666,4.8738,492800
1968-09-27,4.8763,4.8763,4.8181,4.829,436800
1968-09-30,4.8249,4.8649,4.8213,4.8649,281600
1968-10-01,4.7992,4.7992,4.723,4.7484,696000
1968-10-03,4.7453,4.7453,4.6799,4.7126,889600
1968-10-04,4.7239,4.8329,4.7239,4.8111,617600
1968-10-07,4.8131,4.8313,4.7695,4.8022,379200
1968-10-08,4.7949,4.8058,4.7622,4.8022,448000
1968-10-10,4.8024,4.8351,4.7697,4.7843,683200
1968-10-11,4.7615,4.7615,4.678,4.7215,1544000
1968-10-14,4.7262,4.7371,4.639,4.6499,836800
1968-10-15,4.6291,4.6291,4.5528,4.5782,1028800
1968-10-17,4.5811,4.6319,4.5811,4.6319,1480000
1968-10-18,4.6649,4.7484,4.6649,4.7484,936000
1968-10-21,4.7484,4.7847,4.7339,4.7484,568000
1968-10-22,4.7472,4.7472,4.6891,4.7036,499200
1968-10-24,4.7029,4.7029,4.6084,4.623,720000
1968-10-25,4.616,4.616,4.5869,4.6051,776000
1968-10-28,4.5985,4.5985,4.4715,4.5513,1801600
1968-10-29,4.5557,4.5702,4.4903,4.4976,915200
1968-10-31,4.469,4.469,4.4254,4.4617,2816000
1968-11-01,4.4741,4.4995,4.4741,4.4886,1048000
1968-11-04,4.491,4.6073,4.4692,4.5782,980800
1968-11-06,4.5792,4.6083,4.4956,4.5065,1324800
1968-11-07,4.5069,4.6087,4.5069,4.6051,593600
1968-11-08,4.5944,4.5944,4.5435,4.5871,561600
1968-11-12,4.6063,4.6499,4.6063,4.6499,723200
1968-11-13,4.6455,4.7036,4.6419,4.7036,544000
1968-11-14,4.707,4.7506,4.6961,4.7215,491200
1968-11-15,4.7266,4.752,4.7266,4.7484,432000
1968-11-18,4.7511,4.762,4.6712,4.6857,449600
1968-11-19,4.6852,4.7215,4.6271,4.7215,488000
1968-11-21,4.7249,4.7467,4.6958,4.7395,500800
1968-11-22,4.7409,4.7681,4.69,4.7663,571200
1968-11-25,4.7593,4.7629,4.7375,4.7484,465600
1968-11-26,4.7678,4.8114,4.7678,4.7932,825600
1968-11-27,4.7942,4.8559,4.7942,4.8559,433600
1968-11-29,4.8579,4.8615,4.8361,4.847,444800
1968-12-02,4.8533,4.8679,4.777,4.7843,464000
1968-12-03,4.7787,4.7968,4.7642,4.7932,492800
1968-12-05,4.7971,4.808,4.7608,4.7753,555200
1968-12-06,4.7722,4.7722,4.7249,4.7395,344000
1968-12-09,4.7339,4.7702,4.694,4.7484,268800
1968-12-10,4.7518,4.7809,4.7373,4.7663,259200
1968-12-12,4.7623,4.7623,4.6242,4.6678,480000
1968-12-13,4.6433,4.6433,4.5961,4.5961,457600
1968-12-16,4.598,4.6198,4.5799,4.5871,323200
1968-12-17,4.5973,4.6445,4.5973,4.6409,465600
1968-12-19,4.6486,4.7395,4.6486,4.7395,624000
1968-12-20,4.7348,4.7857,4.6513,4.6767,371200
1968-12-23,4.674,4.674,4.5959,4.614,384000
1968-12-24,4.6423,4.6823,4.6423,4.6678,315200
1968-12-26,4.668,4.7117,4.639,4.6499,161600
1968-12-27,4.6428,4.6682,4.5739,4.6319,440000
1968-12-30,4.6166,4.6166,4.5005,4.5513,1544000
1968-12-31,4.5637,4.6073,4.5637,4.5782,563200
1969-01-02,4.5784,4.5821,4.5494,4.5603,256000
1969-01-03,4.5334,4.5334,4.4934,4.5334,705600
1969-01-06,4.4717,4.4717,4.3663,4.399,1232000
1969-01-07,4.3934,4.408,4.3608,4.408,723200
1969-01-08,4.4184,4.4547,4.4184,4.4438,700800
1969-01-09,4.4702,4.5211,4.4702,4.5065,664000
1969-01-10,4.5056,4.5056,4.4184,4.4438,603200
1969-01-13,4.4177,4.4177,4.3486,4.3632,1121600
1969-01-14,4.3562,4.4796,4.3562,4.4796,705600
1969-01-15,4.485,4.4995,4.4632,4.4886,416000
1969-01-16,4.5024,4.5424,4.5024,4.5424,408000
1969-01-17,4.547,4.5506,4.438,4.4707,907200
1969-01-20,4.3632,4.3632,4.2904,4.3632,1739200
1969-01-21,4.3554,4.399,4.3518,4.399,579200
1969-01-22,4.399,4.4099,4.3554,4.399,624000
1969-01-23,4.3995,4.3995,4.3559,4.3632,488000
1969-01-24,4.3651,4.3651,4.336,4.3542,464000
1969-01-27,4.3542,4.3578,4.3252,4.3542,520000
1969-01-28,4.3542,4.3651,4.3324,4.3542,520000
1969-01-29,4.3513,4.3549,4.3005,4.3005,600000
1969-01-30,4.3058,4.3203,4.2912,4.3094,587200
1969-01-31,4.3041,4.3186,4.2859,4.3005,624000
1969-02-03,4.3026,4.3171,4.2808,4.2825,569600
1969-02-04,4.2823,4.3113,4.2823,4.3005,448000
1969-02-05,4.3021,4.3094,4.2913,4.3094,473600
1969-02-06,4.32,4.3528,4.2873,4.3273,609600
1969-02-07,4.3343,4.3452,4.3088,4.3452,504000
1969-02-11,4.3768,4.4169,4.3768,4.4169,579200
1969-02-12,4.4236,4.471,4.4236,4.4528,537600
1969-02-13,4.4609,4.5191,4.4609,4.5155,467200
1969-02-14,4.5194,4.523,4.4684,4.4976,468800
1969-02-17,4.4669,4.4669,4.3721,4.3721,539200
1969-02-18,4.3721,4.3721,4.3284,4.3721,552000
1969-02-19,4.375,4.4042,4.3058,4.3094,561600
1969-02-20,4.3094,4.324,4.2875,4.3094,651200
1969-02-24,4.3091,4.3383,4.3055,4.3273,488000
1969-02-25,4.3257,4.3657,4.3038,4.3184,627200
1969-02-26,4.3125,4.3452,4.3089,4.3452,536000
1969-02-27,4.3385,4.3385,4.3021,4.3094,468800
1969-02-28,4.3119,4.3301,4.2718,4.2736,424000
1969-03-03,4.2711,4.3094,4.2475,4.3094,324800
1969-03-04,4.3108,4.3472,4.3035,4.3363,393600
1969-03-05,4.352,4.4029,4.352,4.3811,364800
1969-03-06,4.4029,4.4029,4.352,4.3811,364800
1969-03-07,4.3632,4.3632,4.294,4.3632,360000
1969-03-10,4.3712,4.4259,4.3603,4.4259,307200
1969-03-11,4.4242,4.4862,4.3951,4.4169,428800
1969-03-12,4.4124,4.4197,4.3614,4.3632,385600
1969-03-13,4.3624,4.3679,4.2842,4.2915,563200
1969-03-14,4.2948,4.3094,4.2766,4.3094,324800
1969-03-17,4.3115,4.4172,4.2933,4.399,491200
1969-03-18,4.3995,4.3995,4.3449,4.3721,329600
1969-03-19,4.3748,4.4441,4.3748,4.4259,361600
1969-03-20,4.4236,4.4564,4.4163,4.4528,403200
1969-03-21,4.4528,4.4528,4.4017,4.4528,329600
1969-03-24,4.4472,4.469,4.4435,4.4617,284800
1969-03-25,4.4667,4.5105,4.4558,4.4886,361600
1969-03-26,4.4847,4.5174,4.4701,4.5065,468800
1969-03-27,4.5079,4.537,4.497,4.5334,417600
1969-03-28,4.5417,4.6001,4.5417,4.5782,328000
1969-04-01,4.5748,4.604,4.5566,4.5603,348800
1969-04-02,4.5625,4.5625,4.5261,4.5334,249600
1969-04-03,4.5281,4.5281,4.4844,4.5244,320000
1969-04-07,4.5052,4.5052,4.476,4.4796,355200
1969-04-08,4.4726,4.5054,4.4435,4.4617,307200
1969-04-09,4.4696,4.5424,4.4696,4.5424,336000
1969-04-10,4.5437,4.5692,4.5365,4.5692,225600
1969-04-11,4.5732,4.5841,4.5404,4.5513,332800
1969-04-14,4.5466,4.5466,4.5029,4.5065,408000
1969-04-15,4.5171,4.5463,4.5171,4.5244,219200
1969-04-16,4.523,4.534,4.4721,4.4976,209600
1969-04-17,4.4998,4.4998,4.467,4.4707,283200
1969-04-18,4.4668,4.4959,4.4631,4.4886,216000
1969-04-21,4.4922,4.4995,4.4485,4.4886,251200
1969-04-22,4.4858,4.5586,4.4594,4.5513,473600
1969-04-23,4.5516,4.5662,4.5298,4.5334,411200
1969-04-24,4.5378,4.6034,4.5378,4.5961,433600
1969-04-25,4.5991,4.6356,4.5846,4.6319,384000
1969-04-28,4.6305,4.7252,4.6305,4.7215,593600
1969-04-29,4.7263,4.7845,4.7263,4.7663,667200
1969-04-30,4.7644,4.808,4.7498,4.7753,696000
1969-05-01,4.7759,4.7831,4.6958,4.7395,812800
1969-05-02,4.7517,4.7809,4.7444,4.7663,260800
1969-05-05,4.7733,4.7916,4.7733,4.7843,291200
1969-05-06,4.7833,4.8417,4.7833,4.838,467200
1969-05-07,4.8387,4.8533,4.7584,4.8022,403200
1969-05-08,4.8091,4.8457,4.7945,4.8201,332800
1969-05-09,4.8155,4.8155,4.7643,4.7753,232000
1969-05-12,4.7736,4.7919,4.7463,4.7663,236800
1969-05-13,4.765,4.838,4.7504,4.838,300800
1969-05-14,4.8374,4.8865,4.8374,4.8738,403200
1969-05-15,4.8566,4.8566,4.8055,4.8201,377600
1969-05-16,4.8217,4.8656,4.8217,4.829,291200
1969-05-19,4.8089,4.8089,4.7395,4.7395,241600
1969-05-20,4.7299,4.7299,4.6678,4.6678,556800
1969-05-21,4.6724,4.7345,4.6724,4.7126,264000
1969-05-22,4.7089,4.7308,4.698,4.7126,513600
1969-05-23,4.7132,4.7826,4.7096,4.7753,208000
1969-05-26,4.7753,4.8045,4.768,4.7753,177600
1969-05-27,4.773,4.8058,4.7036,4.7036,196800
1969-05-28,4.702,4.7056,4.6545,4.6947,288000
1969-05-29,4.699,4.7318,4.6479,4.6588,379200
1969-06-02,4.6605,4.6751,4.6605,4.6678,172800
1969-06-03,4.6628,4.692,4.6336,4.6409,396800
1969-06-04,4.6442,4.6807,4.6406,4.6588,340800
1969-06-05,4.6555,4.6591,4.6409,4.6409,259200
1969-06-06,4.6399,4.6472,4.5961,4.5961,267200
1969-06-09,4.5895,4.5895,4.542,4.5603,404800
1969-06-10,4.5626,4.5736,4.5297,4.5334,315200
1969-06-11,4.5354,4.5464,4.5025,4.5244,409600
1969-06-12,4.5122,4.5122,4.4939,4.4976,441600
1969-06-13,4.5221,4.5769,4.5221,4.5513,515200
1969-06-16,4.5709,4.5964,4.5709,4.5782,260800
1969-06-17,4.5762,4.5871,4.5288,4.5871,388800
1969-06-18,4.5871,4.6419,4.5871,4.5871,588800
1969-06-19,4.5908,4.6419,4.5762,4.5871,387200
1969-06-20,4.5858,4.6589,4.5566,4.5603,723200
1969-06-23,4.5576,4.6051,4.554,4.6051,452800
1969-06-24,4.6697,4.772,4.6697,4.7574,737600
1969-06-25,4.7497,4.7497,4.6767,4.6767,585600
1969-06-26,4.6849,4.8201,4.6776,4.8201,644800
1969-06-27,4.8125,4.8818,4.8088,4.838,833600
1969-06-30,4.8598,4.9621,4.8598,4.9366,811200
1969-07-01,4.9313,4.9532,4.8801,4.9276,561600
1969-07-02,4.9558,5.0799,4.9558,5.0799,737600
1969-07-03,5.0862,5.3273,5.0862,5.1337,936000
1969-07-07,5.1273,5.131,5.0215,5.0799,976000
1969-07-08,5.0412,5.0412,4.9097,4.9097,1104000
1969-07-09,4.9031,4.9031,4.8592,4.8738,747200
1969-07-10,4.8702,4.9067,4.7534,4.7753,664000
1969-07-11,4.7723,4.8599,4.765,4.838,769600
1969-07-14,4.8407,4.848,4.6874,4.6947,587200
1969-07-15,4.6923,4.7288,4.6303,4.7215,1036800
1969-07-16,4.7494,4.7932,4.7494,4.7932,624000
1969-07-17,4.7989,4.85,4.7769,4.7843,505600
1969-07-18,4.7654,4.7654,4.685,4.7215,436800
1969-07-22,4.7193,4.7485,4.6426,4.6499,633600
1969-07-23,4.6475,4.7023,4.6074,4.6767,956800
1969-07-24,4.6794,4.6977,4.6246,4.6319,620800
1969-07-25,4.6303,4.6522,4.6047,4.623,721600
1969-07-28,4.6149,4.6149,4.5675,4.5692,955200
1969-07-29,4.571,4.7152,4.5692,4.5692,1364800
1969-07-30,4.5686,4.6707,4.5248,4.6051,1260800
1969-07-31,4.6737,4.7687,4.6737,4.7395,1096000
1969-08-01,4.7778,4.862,4.7778,4.829,940800
1969-08-04,4.8245,4.8904,4.7659,4.7843,723200
1969-08-05,4.7982,4.9007,4.7982,4.9007,785600
1969-08-06,4.9077,4.9552,4.9077,4.9186,716800
1969-08-07,4.9247,4.9394,4.8771,4.8918,387200
1969-08-08,4.8865,4.9414,4.8828,4.8828,272000
1969-08-11,4.8823,4.8933,4.8201,4.8201,323200
1969-08-12,4.8197,4.838,4.8014,4.838,516800
1969-08-13,4.8437,4.9097,4.8181,4.9097,619200
1969-08-14,4.9085,4.9634,4.9012,4.9634,593600
1969-08-15,4.9614,4.9724,4.9358,4.9724,536000
1969-08-18,4.9736,5.0029,4.9553,4.9993,561600
1969-08-19,4.9973,5.0412,4.9789,5.0082,764800
1969-08-20,5.0084,5.0799,4.9938,5.0799,520000
1969-08-21,5.0847,5.1231,5.0718,5.1157,513600
1969-08-22,5.1153,5.141,5.1117,5.1337,696000
1969-08-25,5.0799,5.0799,4.9993,4.9993,569600
1969-08-26,4.996,5.007,4.9521,4.9814,448000
1969-08-27,4.9989,5.0648,4.9989,5.0172,331200
1969-08-28,5.0319,5.0978,5.0319,5.0978,324800
1969-08-29,5.097,5.1244,5.0237,5.053,576000
1969-09-02,5.0571,5.0644,4.9911,5.0351,425600
1969-09-03,5.0306,5.0562,4.983,4.9903,248000
1969-09-04,4.9887,4.9997,4.9484,4.9814,440000
1969-09-05,4.9875,4.9911,4.9288,4.9545,364800
1969-09-08,4.9426,4.9426,4.9097,4.9097,307200
1969-09-09,4.9069,4.9545,4.8447,4.9545,536000
1969-09-10,4.9822,5.1214,4.9822,5.1068,481600
1969-09-11,5.0791,5.0791,5.0241,5.0351,443200
1969-09-12,5.0327,5.062,4.9448,5.062,640000
1969-09-15,5.0571,5.0827,4.9766,5.0351,537600
1969-09-16,5.0396,5.0946,5.003,5.0799,537600
1969-09-17,5.0762,5.0872,5.0543,5.0799,299200
1969-09-18,5.0848,5.1214,5.0848,5.1068,441600
1969-09-19,5.117,5.1719,5.117,5.1426,1024000
1969-09-22,5.1623,5.2575,5.1623,5.2501,747200
1969-09-23,5.2505,5.2762,5.1919,5.2322,652800
1969-09-24,5.2359,5.2395,5.2029,5.2322,433600
1969-09-25,5.2188,5.2188,5.0868,5.0978,512000
1969-09-26,5.0982,5.1459,5.0579,5.0799,428800
1969-09-29,5.0746,5.1002,5.0234,5.0709,553600
1969-09-30,5.0767,5.0876,5.051,5.062,296000
1969-10-01,5.0608,5.0718,5.0314,5.0351,360000
1969-10-02,5.0294,5.0587,4.9782,5.0441,1067200
1969-10-03,5.0494,5.0823,5.0384,5.053,785600
1969-10-06,5.0518,5.1141,5.0299,5.1068,372800
1969-10-07,5.1076,5.1369,5.06,5.0709,424000
1969-10-08,5.0615,5.0615,4.9937,4.9993,683200
1969-10-09,4.9994,5.0909,4.9811,5.0799,340800
1969-10-10,5.0872,5.1293,5.0433,5.0799,524800
1969-10-13,5.0779,5.0962,5.0266,5.0889,340800
1969-10-14,5.0853,5.1768,5.0816,5.1695,1156800
1969-10-15,5.1838,5.2131,5.1838,5.1874,755200
1969-10-16,5.1845,5.2138,5.104,5.1516,640000
1969-10-17,5.1536,5.1793,5.1316,5.1426,316800
1969-10-20,5.1402,5.1695,5.1402,5.1695,252800
1969-10-21,5.1773,5.2579,5.1773,5.2322,569600
1969-10-22,5.2273,5.231,5.198,5.2053,593600
1969-10-23,5.2086,5.2233,5.1683,5.2233,416000
1969-10-24,5.2539,5.3454,5.2539,5.3308,732800
1969-10-27,5.3291,5.3438,5.2779,5.3218,292800
1969-10-28,5.3242,5.3242,5.273,5.2949,284800
1969-10-29,5.2782,5.2782,5.2233,5.2233,347200
1969-10-30,5.2204,5.2681,5.1911,5.2681,540800
1969-10-31,5.2624,5.3026,5.2624,5.277,393600
1969-11-03,5.2754,5.2754,5.2204,5.2681,416000
1969-11-04,5.2681,5.2827,5.2168,5.2681,404800
1969-11-05,5.2624,5.288,5.2587,5.277,284800
1969-11-06,5.2949,5.3059,5.2766,5.2949,248000
1969-11-07,5.3099,5.3613,5.3099,5.3576,425600
1969-11-10,5.3588,5.4102,5.3588,5.3845,648000
1969-11-11,5.3878,5.4171,5.3804,5.4024,404800
1969-11-12,5.4045,5.4155,5.3825,5.3935,331200
1969-11-13,5.376,5.376,5.2842,5.3576,649600
